customer_id,first_name,last_name,gender,age,signup_date,loyalty_tier,city,state,country
240891,Name891,User,Female,40,2025-09-16,Silver,Bengaluru,Karnataka,India
696853,Name853,User,Female,29,2025-05-10,Silver,Hyderabad,Telangana,India
988598,Name598,User,Female,63,2024-08-15,Bronze,Chennai,Tamil Nadu,India
941235,Name235,User,Male,60,2024-02-01,Gold,Chennai,Tamil Nadu,India
900875,Name875,User,Female,38,2025-03-18,Gold,Chennai,Tamil Nadu,India
166172,Name172,User,Female,30,2024-03-15,Silver,Delhi,Delhi,India
367459,Name459,User,Female,55,2024-05-31,Silver,Delhi,Delhi,India
223646,Name646,User,Female,51,2024-06-15,Bronze,Bengaluru,Karnataka,India
619501,Name501,User,Female,41,2024-11-13,Silver,Delhi,Delhi,India
897926,Name926,User,Male,63,2024-07-30,Silver,Delhi,Delhi,India
571325,Name325,User,Male,24,2024-08-21,Bronze,Bengaluru,Karnataka,India
595185,Name185,User,Male,29,2024-02-16,Bronze,Hyderabad,Telangana,India
783244,Name244,User,Male,66,2024-08-09,Silver,Chennai,Tamil Nadu,India
498055,Name055,User,Female,39,2025-11-09,Gold,Hyderabad,Telangana,India
927036,Name036,User,Male,24,2024-08-15,Bronze,Mumbai,Maharashtra,India
320153,Name153,User,Female,42,2024-06-21,Platinum,Hyderabad,Telangana,India
198418,Name418,User,Female,47,2025-07-14,Silver,Delhi,Delhi,India
611554,Name554,User,Female,63,2024-09-21,Bronze,Delhi,Delhi,India
129724,Name724,User,Male,31,2024-03-21,Bronze,Chennai,Tamil Nadu,India
976363,Name363,User,Female,38,2025-01-27,Gold,Mumbai,Maharashtra,India
508744,Name744,User,Male,43,2024-06-12,Gold,Bengaluru,Karnataka,India
553789,Name789,User,Male,18,2025-01-31,Bronze,Delhi,Delhi,India
736944,Name944,User,Male,54,2025-01-23,Bronze,Chennai,Tamil Nadu,India
899308,Name308,User,Female,59,2024-11-06,Gold,Mumbai,Maharashtra,India
904423,Name423,User,Male,51,2024-05-12,Bronze,Mumbai,Maharashtra,India
102208,Name208,User,Male,45,2024-04-03,Bronze,Bengaluru,Karnataka,India
829633,Name633,User,Male,65,2024-10-12,Silver,Hyderabad,Telangana,India
567022,Name022,User,Female,42,2024-12-03,Silver,Delhi,Delhi,India
379267,Name267,User,Male,33,2024-03-02,Silver,Bengaluru,Karnataka,India
856589,Name589,User,Male,40,2025-03-14,Silver,Chennai,Tamil Nadu,India
940775,Name775,User,Male,40,2025-07-14,Bronze,Chennai,Tamil Nadu,India
339874,Name874,User,Female,60,2024-03-12,Silver,Delhi,Delhi,India
719869,Name869,User,Male,34,2024-06-30,Platinum,Chennai,Tamil Nadu,India
207192,Name192,User,Male,31,2025-03-14,Gold,Delhi,Delhi,India
432849,Name849,User,Male,70,2025-06-09,Bronze,Mumbai,Maharashtra,India
132075,Name075,User,Male,38,2024-02-11,Bronze,Bengaluru,Karnataka,India
123406,Name406,User,Female,60,2024-05-11,Gold,Mumbai,Maharashtra,India
126681,Name681,User,Male,65,2025-06-21,Bronze,Hyderabad,Telangana,India
781098,Name098,User,Female,23,2024-11-05,Bronze,Bengaluru,Karnataka,India
667712,Name712,User,Male,64,2024-09-24,Bronze,Hyderabad,Telangana,India
109652,Name652,User,Female,68,2025-01-24,Gold,Delhi,Delhi,India
499721,Name721,User,Male,45,2024-09-08,Silver,Bengaluru,Karnataka,India
